timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s
2025-09-05T14:04:57Z,23579.0,23579.1,6059,1557.94744,1557.94237,3.1989599999999427,0.002637882716113713,0.0
2025-09-05T14:04:57Z,23579.0,23579.2,6060,1557.95154,1557.94237,3.1989599999999427,0.002637882716113713,-12.597400000412113
2025-09-05T14:04:57Z,23579.0,23579.3,6061,1555.42289,1555.42289,0.6794800000000123,0.0005603035198767756,-14.186700000349061
2025-09-05T14:04:57Z,23579.0,23579.4,6062,1555.10503,1555.10503,0.3616199999999026,0.00029819414678545553,-2.471849999965882
2025-09-05T14:04:57Z,23579.0,23579.5,6063,1554.92852,1554.92852,0.18510999999989508,0.00015264288067982763,-1.5163000000216114
2025-09-05T14:04:57Z,23579.0,23579.6,6064,1554.80177,1554.80177,0.058359999999993306,4.8124026343680874e-05,-0.6351500000200789
2025-09-05T14:04:57Z,23579.0,23579.7,6065,1554.80149,1554.80149,0.05808000000001812,4.789313656686391e-05,-0.019900000000329265
2025-09-05T14:04:58Z,23579.0,23579.8,6066,1554.79625,1554.79779,0.0543800000000374,4.484209308724239e-05,-0.026000000000600265
2025-09-05T14:04:58Z,23579.0,23579.9,6067,1554.79779,1554.79629,0.05287999999995918,4.3605183568405966e-05,-0.007699999999592477
2025-09-05T14:04:58Z,23580.0,23580.0,6068,1554.79629,1554.79625,0.05284000000006017,4.3572199314655325e-05,-0.009000000000145503
2025-09-05T14:04:58Z,23580.0,23580.1,6069,1554.79449,1554.79449,0.05107999999995627,4.212089214587726e-05,-0.015700000000163722
2025-09-05T14:04:58Z,23580.0,23580.2,6070,1554.79225,1554.79311,0.04970000000002983,4.098293538866774e-05,-0.008599999999667124
2025-09-05T14:04:58Z,23580.0,23580.3,6071,1554.79277,1554.79277,0.049359999999978754,4.0702569231037324e-05,-0.004300000000463877
2025-09-05T14:04:58Z,23580.0,23580.4,6072,1554.79311,1554.79225,0.048839999999927386,4.0273773931154025e-05,-0.00425000000058845
2025-09-05T14:04:58Z,23580.0,23580.5,6073,1554.79192,1554.79192,0.04850999999985106,4.000165383696127e-05,-0.011049999999547061
2025-09-05T14:04:58Z,23580.0,23580.6,6074,1554.79004,1554.79004,0.04663000000005013,3.845139390693127e-05,-0.010299999999277859
2025-09-05T14:04:58Z,23580.0,23580.7,6075,1554.7895,1554.78986,0.04645000000004984,3.8302964764678404e-05,-0.002700000000027264
2025-09-05T14:04:59Z,23580.0,23580.8,6076,1554.78986,1554.7895,0.04609000000004926,3.800610648017266e-05,-0.0028500000007794235
2025-09-05T14:04:59Z,23580.0,23580.9,6077,1554.78929,1554.78929,0.045879999999897336,3.7832939147419317e-05,-0.007150000000295587
2025-09-05T14:04:59Z,23581.0,23581.0,6078,1554.78782,1554.78807,0.04466000000002168,3.682691940558735e-05,-0.007349999999739898
2025-09-05T14:04:59Z,23581.0,23581.1,6079,1554.78772,1554.78782,0.04440999999997075,3.6620767819083364e-05,-0.0017500000001500482
2025-09-05T14:04:59Z,23581.0,23581.2,6080,1554.78807,1554.78772,0.04430999999999585,3.653830718451927e-05,-0.0022999999999163134
2025-09-05T14:04:59Z,23581.0,23581.3,6081,1554.78736,1554.78736,0.04394999999999527,3.624144890001353e-05,-0.0059499999996498465
2025-09-05T14:04:59Z,23581.0,23581.4,6082,1554.78653,1554.78653,0.043120000000044456,3.5557025633000285e-05,-0.005099999999494315
2025-09-05T14:04:59Z,23581.0,23581.5,6083,1554.78632,1554.78634,0.04293000000006941,3.5400350427309755e-05,-0.0010500000007748755
2025-09-05T14:04:59Z,23581.0,23581.6,6084,1554.78634,1554.78632,0.042909999999892534,3.5383858300246946e-05,-0.000550000000870382
2025-09-05T14:05:00Z,23581.0,23581.7,6085,1554.78623,1554.78623,0.04281999999989239,3.530964372912051e-05,-0.00334999999957708
2025-09-05T14:05:00Z,23581.0,23581.8,6086,1554.78565,1554.78565,0.042239999999992506,3.483137204861125e-05,-0.005449999999875416
2025-09-05T14:05:00Z,23581.0,23581.9,6087,1554.78513,1554.78514,0.04172999999991589,3.441082281216562e-05,-0.0026000000001564216
2025-09-05T14:05:00Z,23582.0,23582.0,6088,1554.78514,1554.78513,0.04171999999994114,3.440257674872796e-05,-0.0005499999997562732
2025-09-05T14:05:00Z,23582.0,23582.1,6089,1554.78503,1554.78503,0.04161999999996624,3.432011611416387e-05,-0.001399999999856294
2025-09-05T14:05:00Z,23582.0,23582.2,6090,1554.78485,1554.78485,0.04143999999996595,3.417168697191099e-05,-0.003950000000322862
2025-09-05T14:05:00Z,23582.0,23582.3,6091,1554.78424,1554.78424,0.040829999999914435,3.3668677100901264e-05,-0.004099999999938153
2025-09-05T14:05:00Z,23582.0,23582.4,6092,1554.78387,1554.78403,0.040619999999989886,3.349550976833541e-05,-0.0013999999998453583
2025-09-05T14:05:00Z,23582.0,23582.5,6093,1554.78403,1554.78396,0.040549999999939246,3.34377873240843e-05,-0.0008000000002655883
