Timestamp	Time [s]	WL 1[nm]	
2025-09-09T12:57:52Z	158.00000	1554.17994	1537.12805	1524.06008
2025-09-09T12:57:52Z	158.00000	1554.17957	1537.12741	1524.05987
2025-09-09T12:57:52Z	158.00000	1554.16898	1537.12660	1524.05959
2025-09-09T12:57:52Z	158.00000	1554.16832	1537.12531	1524.05901
2025-09-09T12:57:52Z	158.00000	1554.16789	1537.12464	1524.05874
2025-09-09T12:57:52Z	158.00000	1554.16754	1537.12397	1524.05855
2025-09-09T12:57:52Z	159.00000	1554.16716	1537.12333	1524.05826
2025-09-09T12:57:53Z	159.00000	1554.16687	1537.12276	1524.05802
2025-09-09T12:57:53Z	159.00000	1554.16646	1537.12212	1524.05781
2025-09-09T12:57:53Z	159.00000	1554.16621	1537.12157	1524.05760
2025-09-09T12:57:53Z	159.00000	1554.28380	1537.32242	1524.14831
2025-09-09T12:57:53Z	159.00000	1554.50142	1537.70662	1524.31885
2025-09-09T12:57:53Z	159.00000	1554.85916	1538.31722	1524.60129
2025-09-09T12:57:53Z	159.00000	1555.03798	1538.63805	1524.74441
2025-09-09T12:57:53Z	159.00000	1555.22482	1538.97113	1524.88632
2025-09-09T12:57:53Z	160.00000	1555.38203	1539.24215	1525.01069
2025-09-09T12:57:54Z	160.00000	1555.51667	1539.50420	1525.12442
2025-09-09T12:57:54Z	160.00000	1555.80929	1540.01946	1525.34170
2025-09-09T12:57:54Z	160.00000	1555.92782	1540.22316	1525.42543
2025-09-09T12:57:54Z	160.00000	1556.02572	1540.41148	1525.51103
2025-09-09T12:57:54Z	160.00000	1556.14829	1540.61451	1525.59801
2025-09-09T12:57:54Z	160.00000	1556.32090	1540.92307	1525.73328
2025-09-09T12:57:54Z	160.00000	1556.41932	1541.08690	1525.80253
2025-09-09T12:57:54Z	161.00000	1556.48215	1541.19413	1525.85152
2025-09-09T12:57:55Z	161.00000	1556.55414	1541.31338	1525.90539
2025-09-09T12:57:55Z	161.00000	1556.61252	1541.41440	1525.95217
2025-09-09T12:57:55Z	161.00000	1556.65802	1541.51136	1525.98816
2025-09-09T12:57:55Z	161.00000	1556.71310	1541.58461	1526.02114
2025-09-09T12:57:55Z	161.00000	1556.75062	1541.66704	1526.05930
2025-09-09T12:57:55Z	161.00000	1556.78685	1541.73226	1526.08781
2025-09-09T12:57:55Z	161.00000	1556.83551	1541.83778	1526.12484
2025-09-09T12:57:55Z	161.00000	1556.85828	1541.87784	1526.14193
2025-09-09T12:57:55Z	162.00000	1556.88817	1541.90622	1526.15391
2025-09-09T12:57:56Z	162.00000	1556.90222	1541.93129	1526.16433
2025-09-09T12:57:56Z	162.00000	1556.91419	1541.95281	1526.17327
2025-09-09T12:57:56Z	162.00000	1556.92634	1541.97507	1526.18238
2025-09-09T12:57:56Z	162.00000	1556.93520	1542.00735	1526.18911
2025-09-09T12:57:56Z	162.00000	1556.94286	1542.02085	1526.19482
2025-09-09T12:57:56Z	162.00000	1556.95067	1542.03451	1526.20071
2025-09-09T12:57:56Z	162.00000	1556.95628	1542.04434	1526.20500
2025-09-09T12:57:56Z	162.00000	1556.96124	1542.05303	1526.20879
2025-09-09T12:57:56Z	162.00000	1556.96639	1542.06218	1526.21267
2025-09-09T12:57:56Z	163.00000	1556.97078	1542.06988	1526.21601
2025-09-09T12:57:57Z	163.00000	1556.97677	1542.08034	1526.22051
2025-09-09T12:57:57Z	163.00000	1556.39986	1541.04874	1525.77515
2025-09-09T12:57:57Z	163.00000	1555.29800	1539.14396	1524.93608
2025-09-09T12:57:57Z	163.00000	1555.07892	1538.74844	1524.76220
2025-09-09T12:57:57Z	163.00000	1554.91591	1538.45423	1524.63513
2025-09-09T12:57:57Z	163.00000	1554.74481	1538.13680	1524.49805
2025-09-09T12:57:57Z	163.00000	1554.60478	1537.89685	1524.39133
2025-09-09T12:57:57Z	163.00000	1554.47561	1537.67346	1524.29031
2025-09-09T12:57:57Z	164.00000	1554.35350	1537.44838	1524.18672
2025-09-09T12:57:58Z	164.00000	1554.22249	1537.21305	1524.08989
2025-09-09T12:57:58Z	164.00000	1554.21698	1537.20201	1524.08603
2025-09-09T12:57:58Z	164.00000	1554.21402	1537.19563	1524.08413
2025-09-09T12:57:58Z	164.00000	1554.21149	1537.19059	1524.08239
2025-09-09T12:57:58Z	164.00000	1554.20900	1537.18554	1524.08084
2025-09-09T12:57:58Z	164.00000	1554.20661	1537.18072	1524.07924
2025-09-09T12:57:58Z	164.00000	1554.20368	1537.17480	1524.07726
2025-09-09T12:57:58Z	164.00000	1554.20238	1537.17229	1524.07637
2025-09-09T12:57:58Z	165.00000	1554.20114	1537.16991	1524.07553
2025-09-09T12:57:59Z	165.00000	1554.20023	1537.16806	1524.07491
2025-09-09T12:57:59Z	165.00000	1554.19899	1537.16571	1524.07404
2025-09-09T12:57:59Z	165.00000	1554.19805	1537.16381	1524.07338
2025-09-09T12:57:59Z	165.00000	1554.19696	1537.16178	1524.07263
2025-09-09T12:57:59Z	165.00000	1554.19598	1537.15987	1524.07195
2025-09-09T12:57:59Z	165.00000	1554.19532	1537.15856	1524.07144
2025-09-09T12:57:59Z	165.00000	1554.19452	1537.15706	1524.07091
2025-09-09T12:57:59Z	165.00000	1554.19365	1537.15538	1524.07031
2025-09-09T12:57:59Z	165.00000	1554.19284	1537.15383	1524.06974
2025-09-09T12:57:59Z	166.00000	1554.19203	1537.15235	1524.06919
2025-09-09T12:58:00Z	166.00000	1554.19082	1537.15000	1524.06833
2025-09-09T12:58:00Z	166.00000	1554.19035	1537.14905	1524.06795
2025-09-09T12:58:00Z	166.00000	1554.18970	1537.14810	1524.06769
2025-09-09T12:58:00Z	166.00000	1554.18917	1537.14660	1524.06698
2025-09-09T12:58:00Z	166.00000	1554.18854	1537.14570	1524.06672
2025-09-09T12:58:00Z	166.00000	1554.18813	1537.14475	1524.06632
2025-09-09T12:58:00Z	166.00000	1554.18756	1537.14409	1524.06623
2025-09-09T12:58:00Z	166.00000	1554.18711	1537.14270	1524.06544
2025-09-09T12:58:00Z	167.00000	1554.18663	1537.14210	1524.06542
2025-09-09T12:58:01Z	167.00000	1554.18624	1537.14111	1524.06492
2025-09-09T12:58:01Z	167.00000	1554.18564	1537.14028	1524.06470
2025-09-09T12:58:01Z	167.00000	1554.18504	1537.13940	1524.06435
2025-09-09T12:58:01Z	167.00000	1554.18426	1537.13779	1524.06371
2025-09-09T12:58:01Z	167.00000	1554.18402	1537.13714	1524.06347
2025-09-09T12:58:01Z	167.00000	1554.18366	1537.13651	1524.06330
2025-09-09T12:58:01Z	167.00000	1554.18328	1537.13580	1524.06292
2025-09-09T12:58:01Z	167.00000	1554.18294	1537.13525	1524.06271
2025-09-09T12:58:01Z	168.00000	1554.18255	1537.13452	1524.06248
2025-09-09T12:58:02Z	168.00000	1554.18224	1537.13386	1524.06216
2025-09-09T12:58:02Z	168.00000	1554.18187	1537.13331	1524.06198
2025-09-09T12:58:02Z	168.00000	1554.18151	1537.13258	1524.06164
